    Xi (deg)   Xn       delMag   No. in bin
     0.320     0.080    -0.009       0
     0.340     0.080    -0.010       0
    -0.340     0.100     0.061      40
    -0.320     0.100     0.064     552
    -0.300     0.100     0.067     487
    -0.280     0.100     0.065     649
    -0.260     0.100     0.057     990
    -0.240     0.100     0.038     583
    -0.220     0.100     0.024     830
    -0.200     0.100     0.007     420
    -0.180     0.100    -0.001     675
    -0.160     0.100    -0.004     591
    -0.140     0.100     0.001     826
    -0.120     0.100     0.003     882
    -0.100     0.100     0.001      80
    -0.080     0.100    -0.003       0
    -0.060     0.100    -0.004       0
    -0.040     0.100    -0.005       0
    -0.020     0.100    -0.005       0
     0.000     0.100    -0.000       0
     0.020     0.100     0.022       0
     0.040     0.100     0.022       0
     0.060     0.100     0.024       0
     0.080     0.100     0.029       0
     0.100     0.100     0.033      28
     0.120     0.100     0.030    1440
     0.140     0.100     0.024    1361
     0.160     0.100     0.018    1277
     0.180     0.100     0.014    1665
     0.200     0.100     0.009    1246
     0.220     0.100     0.000     990
     0.240     0.100    -0.007    1262
     0.260     0.100    -0.012    1163
     0.280     0.100    -0.014    1153
     0.300     0.100    -0.016    1240
